smiles,logP,qed,SAS
"CC1=Nc2c(c(=O)[nH]n2C2CCCCC2)[C@H](c2ccsc2)S1
",4.6292,0.832342195062,3.719025706952269
"Cc1ccccc1CS[C@H]1N=C2N=NC=C2C(=O)N1c1ccc(Cl)cc1
",4.96022,0.718108409254,3.597302406536865
"Cc1cc(F)c([C@H](C)Nc2cccc(C#N)c2)cc1F
",4.3180000000000005,0.8654125880689999,2.6466832019751334
"O=C(N/N=C/c1cccn1-c1ccc(Cl)cc1)C(O)(c1ccccc1)c1ccccc1
",4.5169,0.334115333378,2.3906237036023987
"O=C1NC(=O)C(=CNC(=S)NCc2ccccc2)C(=O)N1
",-0.0994,0.364396285978,2.456345836859809
"C=C(C)CSc1n[nH]c(/C=C/c2ccc(C)o2)n1
",3.54472,0.64470900765,2.9229529825530016
"Clc1c[nH+]ccc1N1CCN(Cc2cc(-c3ccccc3)[nH]n2)CC1
",2.8664,0.777458255207,3.14979198461739
"CC(=O)N[C@@H](CC(=O)Nc1cnn(CC(C)C)c1)c1ccccc1
",2.7451,0.816033286715,2.60659488753854
"CNC(=O)C1CC[NH+](C[C@@H](O)Cn2cnc3cc(C)c(C)cc32)CC1
",0.05494,0.7372199004180001,4.084796285117978
"CCc1nsc(N2CCCN(C(=O)C3CCC3)CC2)n1
",1.9393,0.8595323421500001,2.367773285269981
"COc1ccc([C@@H]2[C@H](C(=O)c3ccccc3)[C@](O)(C(F)(F)F)N(C)C(=O)N2C)cc1OC
",3.4921,0.687377328967,3.5243628752901106
"CCCS(=O)(=O)N1CCc2ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc2C1
",2.945,0.583573209651,2.2692862428875142
"Cc1nnc(S[C@H](C)C(=O)N[C@@H](C)c2ccc3c(c2)CCCC3)s1
",4.08332,0.7850407968340001,3.038787346724031
"Cc1cccc(Nc2nc(C(=O)Nc3nc(-c4cccnc4)cs3)cs2)n1
",4.36092,0.500368080621,2.4038348225975152
"CNC(=O)c1ccc(Cl)cc1NC(=O)CCc1cccc(F)c1
",3.41,0.862246374396,1.826708522973835
"CN1C(=O)c2ccc(NC(=O)CNc3cccc(Cl)c3F)cc2C1=O
",2.7555,0.8162404590919999,2.152029162598048
"COCc1cc(CNC(=O)N2CCC[C@@H]2c2c(C)n[nH]c2C)ccc1F
",3.35874,0.8427282138050001,3.0450136984230616
"CN1C(=O)/C(=C2/C(=O)N(CC(=O)[O-])c3ccccc32)S/C1=N\c1cccc(C(=O)[O-])c1
",-0.2494,0.625357358586,3.2765829522607164
"C[C@@H]([NH3+])C(C)(C)C[NH+]1CCC(C[NH+](C)C)CC1
",-1.9176,0.535875763591,6.328603498913763
"[NH3+]C[C@H]1CCCC[C@H]1N1CCOCC1
",0.1193,0.7041437137279999,3.711602698230808
"COc1ccc(-n2c(SCC[NH+]3CCCCC3)nc3ccccc3c2=O)cc1
",2.5552,0.5128976280390001,3.1014371881898666
"O=C(CN1C(=O)COc2ccc(C(=O)COc3ccccc3Cl)cc21)NC1CCCCC1
",3.776,0.6217332980100001,2.3185565584494494
"O=c1[nH]c(=O)n(C[C@@H]2CCCO2)c2nccc(-c3ccccc3)c12
",1.9308,0.8034808236300001,2.70961301776652
"CCOC(=O)C1=C(CCl)NC(=O)N[C@H]1c1cccc(Cl)c1
",2.7499,0.655741507553,2.8088546489112094
"CC[NH+](CC)Cc1c(O)cc(C)c2c1O/C(=C\c1cc(Br)cc3c1OCOC3)C2=O
",3.3705199999999995,0.637226167464,3.8701465602107183
"CCCOc1cccc(CC(=O)N2CC[C@@H](C(N)=O)c3ccccc32)c1
",3.0237,0.858972893106,2.68685709260755
"C[C@@H](CCCO)N[C@H](C[NH3+])c1cccc2ccccc12
",1.8734,0.7256713346160001,3.4018577756105657
"CCN1CCO[C@H](Cn2cc(C[NH2+]C)c3cccnc32)C1
",0.4502,0.887418215085,3.747810751881163
"c1cc(CN2CCC[C@]3(CC[NH2+]C3)C2)cc(Cn2cccn2)c1
",1.4807,0.937751588706,4.081625513474759
"C[C@H]([NH2+][C@@H]1CCO[C@]2(CCOC2)C1)c1cccnc1
",1.0441,0.898450667823,5.068026562875999
"COc1cccc(CN(CCC(=O)N2CC[NH2+]CC2)C(=O)c2ccc(F)c(F)c2)c1
",1.4115,0.7473067306479999,2.9500921322857017
"CCN(Cc1cccc(NC(=O)[C@H](C)c2ccc3ccccc3c2)c1)C(C)=O
",4.9504,0.635370769055,2.5107964967894207
"CC[NH2+][C@H](Cc1nccn1C)[C@]1(N(C)C)CCC[C@H](C)C1
",1.425,0.8701994230399999,4.7111524147907815
"N#Cc1ccccc1NC(=O)C[NH+]1CCCC[C@H]1C(=O)[O-]
",-1.31592,0.758284000536,4.420064966602029
"CN(Cc1ccc(Cl)cc1Cl)S(=O)(=O)CCCC(=O)[O-]
",1.2851,0.7584821798029999,2.749340468831205
"C[C@H](C[C@H]1CCCC[NH2+]1)[NH2+]CCc1nnc2ccccn12
",-0.2703,0.795230917736,5.011176275850461
"COc1ccc2c(c1)[C@H]([NH2+][C@H](C)CCN1CCOCC1)CCCO2
",1.5831,0.865166583452,3.789130145689772
"Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C3CC3)C3CC3)CC2)c(C)c1
",3.00894,0.8033563137299999,2.349916606328666
"CCOc1ccc(NC(=O)CN2CCN(CC)C(=O)C2=O)cc1
",0.7145,0.797091072577,2.031268138358449
"N#C[C@@H]1CN(S(=O)(=O)N2CCC[C@@H]2c2ccco2)CCO1
",0.8856799999999999,0.8396301394,3.71326305004401
"C[C@H]1C[C@H](C)CCN1C(=O)CNC(=O)c1ccc2c(c1)CCC2
",2.5521,0.930103439662,2.896908847556088
"COC(=O)C[C@H](NC(=O)Nc1nc(C)c(C)o1)c1cccc(Cl)c1
",3.37074,0.789930541619,2.9038582525317533
"N/C(CSc1ccccc1[N+](=O)[O-])=N\O
",1.4333,0.204257538061,2.405168390848946
"COc1ccc2cc([C@H](C)C(=O)N3CCCN(S(C)(=O)=O)CC3)ccc2c1
",2.4458,0.8039936676,2.6333742635266097
"CC[C@@H](C)NC(=O)CN1CCN(C(=O)Nc2ccccc2Oc2ccccc2Cl)CC1
",4.1965,0.644433076765,2.5299371941021747
"COC(=O)Nc1cccc(OCc2cccc([N+](=O)[O-])c2)c1
",3.3521,0.662623777028,1.845004746764921
"COC(=O)NCCC(=O)Nc1cc(-c2ccncc2)nn1C
",1.1667,0.874420612203,2.251972240561446
"Cc1ccc(C)c(N2C[C@@](O)(c3ccc(F)cc3)[N+]3=C2SCCC3)c1
",3.61324,0.8107198214329999,3.277950840140422
"Cc1nc(N(C)Cc2cccc(OC(F)F)c2)c2cnn(C)c2n1
",2.90952,0.712413464252,2.546423848766139
"CC[C@@H]1C[NH2+]CC[C@@H]1c1cc(Br)ccc1F
",2.6651,0.857667593048,4.303574828037095
"CC(C)(C)NS(=O)(=O)NC(=O)c1c[nH]c2ccccc12
",1.5306,0.809198141745,2.4183337441093857
"Cc1n[nH]c(C)c1[C@@H]1CCCCCN1C(=O)Nc1nccs1
",3.63224,0.864294787025,3.0991495050291933
